t;true1;true2;true3;true4;prev1;prev2;prev3;prev4
1;1,6893073593073593;2,0651818181818182;2,122818181818182;2,4006363636363637;1,659994158376817;1,9774637442656662;2,0363433957623855;2,3612449424082866
2;1,771691729323308;2,2373157894736844;2,270368421052632;2,487842105263158;1,6017511293855575;2,001977883691986;2,0437480235474585;2,2929458321434493
3;1,739120082815735;2,038478260869565;2,0013913043478264;2,1905217391304346;1,6101428850962898;1,999035764053243;1,9291201928173634;2,199548475824322
4;1,519;1,58325;1,56;1,7819500000000001;1,6552825512076665;1,8298662619181012;1,840862555569464;2,049823776964959
5;1,4022186147186149;1,5064545454545453;1,5102272727272728;1,6865;1,8340058818604617;1,9544319823603835;1,8874770196288484;2,133454408244395
6;1,4067261904761905;1,588;1,56295;1,7973500000000002;1,6407464116751405;1,7375102695117106;1,7067991966499991;1,8890095754690899
7;1,4752142857142858;1,6700500000000003;1,59685;1,8049;1,3588210551721878;1,6153778508961267;1,5954905410294928;1,8304511482725703
8;1,297766439909297;1,4318571428571427;1,4102857142857144;1,6819523809523809;1,53391087544032;1,7538416643763428;1,6772371649110307;1,8863923859521512
9;1,4114035087719299;1,6404736842105263;1,611842105263158;2,0189473684210526;1,5347148958089267;1,7353081541970294;1,7282407694402366;2,190935350926321
10;1,4390909090909092;1,9377727272727272;1,8505;2,373181818181818;1,615095379933279;1,8858498862666868;1,8734677882696074;2,2203700910410333
11;1,5232619047619047;2,1054500000000003;2,16255;2,53065;1,5074142913053394;2,1295106692638925;2,167241535375216;2,4586259038388687
12;1,5108225108225108;2,245409090909091;2,3052272727272727;2,572090909090909;1,5146948925230834;2,098221257655455;2,189676888107923;2,5196126512784365
13;1,6068820861678006;2,1864761904761902;2,154904761904762;2,354;1,4054167281349343;2,101472768859587;2,109867890643287;2,3822208206931568
14;1,764705215419501;2,136904761904762;2,127952380952381;2,310619047619048;1,6458792379497829;2,182333415605765;2,1293220285006464;2,3193176052688522
15;1,7227639751552797;2,0038695652173915;1,9657826086956522;2,049304347826087;1,8152967655046823;2,1136334523679734;2,1024927086237444;2,285294126399375
16;1,9027318295739348;2,101842105263158;2,1106315789473684;2,2079999999999997;1,7317461381515056;2,0237273017119453;2,01762033019654;2,1161893386075796
17;2,042826086956522;2,1687391304347825;2,1211304347826085;2,393869565217391;1,9701625306472688;2,0716598422472456;2,0019052924717644;2,1657867354213653
18;2,256485260770975;2,4241904761904762;2,358714285714286;2,558952380952381;1,8473908770454852;1,8947492486669897;1,9134329880785599;2,0780881080149425
19;2,1830238095238093;2,3297;2,27495;2,4497;1,7292555756011256;1,8422510731862574;1,7718655327012272;1,995388639039848
20;2,2135827664399095;2,3340952380952382;2,315380952380952;2,322952380952381;1,8280128884382516;1,8927629996530793;1,8886071726062212;2,0291703312326113
21;2,271095238095238;2,38105;2,4084499999999998;2,6087;1,8188510241410099;1,9863571764994605;1,9360364873260374;2,1274956399011606
22;2,510809523809524;2,5038;2,5623;2,7830500000000002;2,031169963197895;1,9988422478806962;2,0548242052422356;2,2336524945090472
23;2,680487012987013;2,7621818181818183;2,7956363636363637;3,0683636363636366;2,0956080568290885;2,0954530526684483;2,1611465385538526;2,4124695809614565
24;2,985657596371882;3,097952380952381;3,106904761904762;3,3115238095238095;2,0962481227200414;2,1407578233488302;2,1794852711591193;2,387573350646498
25;3,1876190476190476;3,2922380952380954;3,284047619047619;3,6940952380952377;2,1910912144919186;2,101443134578221;2,135977355004393;2,345355162430916
26;3,175497835497836;3,147636363636364;3,1578636363636363;3,2858181818181817;2,2964457633876485;2,135642709770087;2,1115239056658153;2,416513193745998
27;2,777766439909297;2,896952380952381;2,9374761904761906;3,072523809523809;2,2915250249838355;2,143733768357065;2,189912413520592;2,288535314057231
28;2,47891156462585;2,805238095238095;3,1383809523809525;2,8701904761904764;2,0680258832231444;1,9781519806832224;2,0121725224469764;2,218435280405163
29;1,824016563146998;1,920608695652174;1,786478260869565;2,124695652173913;2,1262777494810323;2,0343921239195586;1,9881343429184788;2,204388155486647
30;1,3645112781954887;1,2828947368421053;1,204263157894737;1,2679473684210527;1,8834628317653885;1,979016526455773;1,8061239404997282;2,0344086775204286
31;0,979090909090909;0,9561818181818182;0,9300454545454545;1,1104545454545454;1,714799915051989;1,7733813292063603;1,7110295548203975;1,8800997835391027
32;0,993095238095238;1,14575;1,1478;1,45675;1,676743382269298;1,799972486978369;1,7598083588145672;1,9694049102842983
33;0,9306516290726817;1,2157368421052632;1,1950526315789474;1,5466315789473684;1,527085570146075;1,817785752457655;1,8057883055902804;2,263961845462838
34;1,1414069264069264;1,2884545454545455;1,2884090909090908;1,4727727272727271;1,575494112128914;1,9634774313511654;1,9757755305104372;2,2756877562538254
35;1,182063492063492;1,3794761904761905;1,349190476190476;1,5746190476190476;1,7133588612127513;2,110235784899996;2,0593389107622952;2,3335138914968367
36;1,4054404761904762;1,68875;1,6572500000000001;1,8474;1,6830298436833855;2,1050153607671587;2,0775056943889596;2,2725082800591094
37;1,658116883116883;1,9059545454545452;1,888818181818182;2,0847272727272728;1,7816197469960282;2,0411183946606464;1,9990158533040345;2,2499335128119817
38;1,527435064935065;1,7500454545454545;1,704909090909091;1,9129090909090911;1,7639580472002492;2,0278416314931436;1,9942237829960943;2,1832855258603976
39;1,6915419501133786;1,9300952380952379;1,887714285714286;2,113142857142857;1,7908928835483788;2,075097710354366;2,0569662064990117;2,1770120519161114
40;1,6525736961451247;1,7796666666666665;1,7353333333333334;2,055857142857143;1,762546683452725;1,941978695389704;1,932500174811901;2,2133238701540257
41;1,8027489177489178;1,923681818181818;1,8846818181818181;2,0319090909090907;1,9510578437846449;2,1079629213810223;2,049726967412688;2,3126513495959573
42;1,856904761904762;1,9828;1,92575;1,9795000000000003;1,7454135322248923;1,940771850230124;1,8896878020892753;1,981725895549543
43;1,773095238095238;1,919090909090909;1,8866363636363637;2,0143181818181817;1,7501627027530036;1,834448821020451;1,8155426617551458;1,8674460476708945
44;1,8648997493734338;2,0405263157894735;2,0137894736842106;2,0570526315789475;1,7238658962741416;1,9211012804854852;1,8980001867954526;2,001727024533044
45;1,8187468671679197;1,9888421052631577;1,9717222222222222;2,0775;1,7604291905888803;2,001175664769561;2,0149822621813773;2,179247527498852
46;1,933416149068323;2,140434782608696;2,137;2,2570434782608695;2,0111043357594514;2,1586175641728063;2,16835015278328;2,226607722918983
47;2,0069727891156464;2,2276666666666665;2,1914285714285713;2,306619047619048;1,9510773123283667;2,310759894809802;2,2725518367929975;2,4018307875671865
48;1,755797619047619;2,01885;1,98915;2,11495;2,0799562149007333;2,327856401007796;2,32240748659416;2,3757035281058
49;1,7937121212121212;2,014409090909091;1,9688181818181818;2,255272727272727;1,9828374997157914;2,278245946639607;2,215311237716982;2,3964507928750134
50;1,8171315192743762;1,9945714285714287;1,9735714285714285;2,2805238095238094;2,071130818937757;2,2917923919192;2,328839034307712;2,5062404957179405
51;1,823787878787879;1,9432727272727275;1,9284999999999999;2,178181818181818;2,1309658418421606;2,348042537035111;2,3377732398875617;2,5737918843859604
52;1,7914739229024943;1,9690476190476192;1,9504285714285716;2,068761904761905;2,055644568501933;2,2059834897366137;2,2521983726615504;2,516886303110809
53;1,949829931972789;2,164047619047619;2,0713333333333335;2,258857142857143;2,0989606089626123;2,3745408601225124;2,306081148319833;2,4535207865687907
54;2,0060204081632653;2,244285714285714;2,117;2,2387142857142854;2,0102531342208643;2,2928484731427416;2,2286363053302676;2,264761281851949
55;2,1225216450216453;2,389181818181818;2,3103636363636366;2,4188181818181818;2,0096530311972733;2,249105792681233;2,183076567318996;2,2524795192509286
56;2,123107142857143;2,44805;2,39055;2,44835;2,001082551279167;2,3503527193714064;2,3540242611906326;2,339749290555628
57;2,1090100250626564;2,557578947368421;2,511;2,758421052631579;2,1012811135165577;2,484218222903717;2,4748532174261952;2,641712446582861
58;2,4489648033126294;2,837652173913044;2,8593913043478265;3,153565217391304;2,1988418946233783;2,6437971187194202;2,682583870537655;2,809291560036121
59;2,6079166666666667;3,1776;3,13635;3,3734;2,34822150960932;2,785194176787934;2,8140199211076293;3,035808813293539
60;2,402392290249433;3,0237142857142856;3,0238571428571426;3,0546666666666664;2,2683909075536777;2,8849669532177806;2,8885309351817376;2,996573471051419
61;2,2920021645021644;2,8349545454545453;2,7892727272727273;2,861;2,2326552620297178;2,8217126316784853;2,8126605620280887;2,83882373612562
62;2,31675;3,0210999999999997;2,97515;2,94755;2,3949706667867607;2,9165672014727653;2,845733274178643;2,8334937846806563
63;2,055548654244306;2,8348260869565216;2,8009565217391303;2,839608695652174;2,1348511152700085;2,8732200861172923;2,852952029662895;2,7545591978521413
64;2,036077097505669;2,7682380952380954;2,692428571428571;2,9165714285714284;2,0630535961487833;2,706546471007922;2,6192649249536055;2,771519998809431
65;2,0552947845804987;2,7724761904761905;2,6891904761904764;2,9490000000000003;2,046337200209169;2,739742360237444;2,6899498785408635;2,9111455927905916
66;2,313344671201814;2,6294285714285714;2,539047619047619;2,7371904761904764;1,9499289038507919;2,6399887788896295;2,4952000541469785;2,6953967049206353
67;2,346734693877551;2,633857142857143;2,544095238095238;2,702238095238095;2,119458801338041;2,465873691864259;2,4104126694786987;2,6189686325014163
68;2,3874642857142856;2,8225000000000002;2,7773;2,9196999999999997;2,1777892725542407;2,5627146513405035;2,5224917677736256;2,6113268312566746
69;2,4334285714285713;3,04355;2,9988;3,30215;2,161387669794689;2,6142101417817742;2,5870582304352574;2,8737852629887
