t;true1;true2;true3;true4;prev1;prev2;prev3;prev4;m1;m2;m3;m4
1;0,2105549182978594;0,1895103119556733;0,5294974906843308;0,0975185637237924;0,18555871279714287;0,1670761497085287;0,49741768620518984;0,06903589796704325;0,12701081837778447;0,17184095379239006;0,5061674096972159;0,08655249362382096
2;0,25374682539016113;0,13349380923637574;0,5466117484877506;0,10019083188340404;0,21575197587479028;0,17350599637368366;0,5075635839309618;0,10536035022000875;0,16915637617872148;0,1905391372116676;0,4992171880673702;0,11633033645369498
3;0,17651483145800945;0,056229313587864684;0,4270149625521034;0,05962556157605421;0,24316872012865676;0,13587821122001112;0,49385507082344754;0,1105981554339779;0,2153304567959231;0,14607974055180042;0,48958483130076524;0,12210530393600519
4;0,1940523320463988;0,09080551442525873;0,31088356494946895;0,09170534678995446;0,2064283043418042;0,08993322207885346;0,4184445280364721;0,0862678189675375;0,18287196206325504;0,11954531858159537;0,42310116221967586;0,1132730734304065
5;0,15532458119258793;0,14527499908927632;0,30215544681491807;0,1652002879645304;0,18239315617322568;0,10513899313246536;0,34946970293932744;0,12861755578440964;0,1755890598993015;0,1196726872466249;0,33449472963036925;0,1276798914129892
6;0,08951954442677405;0,16990724963946438;0,2974242136434161;0,17800505596297925;0,14730561122603633;0,1618729831744211;0,29253967109049767;0,18805471504584334;0,14805278775965316;0,14859231395687564;0,27964504105689836;0,1677545768702458
7;0,09985624739818942;0,19863253070728182;0,3215773328211041;0,17124191422216997;0,03975939499665084;0,18292583592128436;0,29017083393428245;0,18010189666429413;0,07147023438223087;0,16288883653796957;0,283693623690328;0,15881809904195326
8;0,20244052299718537;0,21602270872421137;0,2723639119044628;0,20979349730244432;0,12318433440964738;0,20687241073214904;0,335735693959728;0,16122449075802003;0,15031830826939752;0,18437419165032978;0,30968791651243044;0,1396849185050888
9;0,13392485993996675;0,18350055195516546;0,20174290948081014;0,14324201902792275;0,14423557291347297;0,18632383775041425;0,24966933690954912;0,17616859802338591;0,19286187424129234;0,17974276721469176;0,2676221990976982;0,1766729800842309
10;0,11921204969930647;0,15360793897268735;0,2558234491346481;0,12727065217127198;0,14522762147195356;0,1965811797449634;0,18693801044358013;0,16094428188102858;0,1829471928980828;0,181722542387504;0,21167042821085466;0,14378694294883204
